"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
1,0,1,0,0,0,0,0,0,15,4,4,0,1,4,10
1,0,1,0,0,0,0,0,0,14,4,0,0,1,9,6
1,0,1,0,0,0,0,0,0,29,7,4,1,1,3,7
1,0,1,0,0,0,0,0,0,30,4,4,0,1,5,4
1,0,1,0,0,0,0,0,0,22,12,0,0,1,18,7
1,0,1,0,0,0,0,0,0,22,10,0,0,1,27,5
1,0,0,0,1,0,0,0,0,26,4,4,0,1,7,6
0,0,0,0,1,0,0,0,0,18,0,0,0,1,8,7
1,0,0,0,1,0,0,0,0,26,0,0,0,1,8,8
1,0,0,0,1,0,0,0,0,21,4,0,0,1,7,13
0,0,0,0,0,1,0,0,0,24,0,0,0,1,12,9
0,0,0,0,0,1,0,0,0,21,4,4,0,1,12,6
0,0,0,0,0,1,0,0,0,25,0,0,0,1,17,2
1,0,0,0,0,1,0,0,0,30,4,0,0,1,12,7
0,0,0,0,0,1,0,0,0,17,0,0,0,1,12,7
0,0,0,0,0,1,0,0,0,24,4,7,0,1,4,5
0,0,0,0,0,1,0,0,0,26,4,4,0,1,4,4
0,0,0,0,0,1,0,0,0,16,10,0,0,1,6,6
0,0,0,0,0,1,0,0,0,17,10,0,0,1,10,7
1,0,0,0,0,1,0,0,0,14,10,0,0,1,6,3
0,0,0,0,0,1,0,0,0,25,4,12,0,1,10,10
0,0,0,0,0,1,0,0,0,22,4,0,0,1,10,9
1,0,0,0,0,1,0,0,0,19,4,0,0,1,10,8
1,0,0,0,0,1,0,0,0,19,0,0,0,1,11,10
0,0,0,0,0,1,0,0,0,15,12,0,0,1,6,5
0,0,0,0,0,1,0,0,0,16,4,4,0,1,8,7
0,0,0,0,0,1,0,0,0,14,7,4,0,1,6,5
0,0,0,0,0,1,0,0,0,15,4,4,0,1,7,7
0,0,0,0,0,1,0,0,0,25,4,0,0,1,10,4
1,0,0,0,0,1,0,0,0,15,7,4,0,1,13,4
1,0,0,0,0,1,0,0,0,17,10,0,0,1,8,6
0,0,0,0,0,1,0,0,0,18,7,0,0,1,9,7
1,0,0,0,0,1,0,0,0,19,7,0,0,1,9,7
1,0,1,0,0,0,0,0,0,27,7,4,0,1,13,14
1,0,1,0,0,0,0,0,0,14,4,4,0,1,13,6
1,0,1,0,0,0,0,0,0,25,10,0,0,1,12,13
1,0,1,0,0,0,0,0,0,20,0,7,1,1,20,5
1,1,0,0,0,0,0,0,0,20,4,0,0,1,9,6
